Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch Outcome,Booster landing
1,04-Jun-10,18:45,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",Failure
2,08-Dec-10,15:43,F9 v1.0B0004.1,CCAFS,Dragon,0,LEO,NASA,Success,Failure
3,22-May-12,07:44,F9 v1.0B0005.1,CCAFS,Dragon,525 kg,LEO,NASA,Success,"No attempt
"
4,08-Oct-12,00:35,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",No attempt
5,01-Mar-13,15:10,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
","No attempt
"
6,29-Sep-13,16:00,F9 v1.1B1003,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,Uncontrolled
7,03-Dec-13,22:41,F9 v1.1,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,No attempt
8,06-Jan-14,22:06,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt
9,18-Apr-14,19:25,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",Controlled
10,14-Jul-14,15:15,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled
11,05-Aug-14,08:00,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt
12,07-Sep-14,05:00,F9 v1.1,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,"No attempt
"
13,21-Sep-14,05:52,F9 v1.1,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,Uncontrolled
14,10-Jan-15,09:47,F9 v1.1,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,Failure 
15,11-Feb-15,23:03,F9 v1.1,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",Controlled
16,02-Mar-15,03:50,F9 v1.1,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",No attempt
17,14-Apr-15,20:10,F9 v1.1,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",Failure
18,27-Apr-15,23:03,F9 v1.1,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",No attempt
19,28-Jun-15,14:21,F9 v1.1,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,Precluded
20,22-Dec-15,01:29,F9 FT,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",Success
21,17-Jan-16,18:42,F9 v1.1,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",Failure
22,04-Mar-16,23:35,F9 FT,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",Failure
23,08-Apr-16,20:43,F9 FT,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,Success
24,06-May-16,05:21,F9 FT,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
25,27-May-16,21:39,F9 FT,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",Success
26,15-Jun-16,14:29,F9 FT,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",Failure
27,18-Jul-16,04:45,F9 FT,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",Success
28,14-Aug-16,05:26,F9 FT,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
29,14-Jan-17,17:54,F9 FT,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
30,19-Feb-17,14:39,F9 FT,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",Success
31,16-Mar-17,06:00,F9 FT,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",No attempt
32,30-Mar-17,22:27,F9 FT♺,KSC,SES-10,"5,300 kg",GTO,SES,Success,Success
33,01-May-17,11:15,F9 FT,KSC,NROL-76,C,LEO,NRO,"Success
",Success
34,15-May-17,23:21,F9 FT,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",No attempt
